,usia,gender,transaksi,pembayaran
616,33,L,35,Buruk
617,18,L,42,Bagus
618,59,P,25,Sedang
619,32,P,12,Bagus
620,17,L,14,Bagus
621,20,P,6,Buruk
622,29,P,42,Bagus
623,27,P,41,Bagus
624,46,L,33,Bagus
625,34,L,10,Bagus
626,35,L,23,Bagus
627,40,P,1,Buruk
628,26,L,50,Buruk
629,20,P,12,Bagus
630,40,P,3,Sedang
631,37,L,9,Buruk
632,20,P,45,Sedang
633,26,L,29,Sedang
634,50,P,0,Bagus
635,40,P,39,Sedang
636,42,L,27,Bagus
637,30,L,16,Bagus
638,33,P,44,Bagus
639,44,P,19,Sedang
640,33,L,45,Sedang
641,26,P,50,Buruk
642,17,L,3,Buruk
643,40,L,44,Bagus
644,47,L,10,Bagus
645,30,P,10,Buruk
646,28,L,42,Buruk
647,51,P,33,Buruk
648,43,L,29,Buruk
649,28,L,13,Bagus
650,26,P,37,Buruk
651,26,L,24,Sedang
652,54,L,30,Bagus
653,40,L,35,Sedang
654,19,P,44,Buruk
655,31,L,20,Buruk
656,54,P,48,Bagus
657,55,P,39,Bagus
658,53,P,50,Buruk
659,42,L,21,Bagus
660,28,L,14,Buruk
661,35,L,37,Bagus
662,21,P,0,Buruk
663,47,L,8,Buruk
664,27,L,1,Buruk
665,41,P,43,Sedang
666,22,L,37,Bagus
667,60,L,46,Bagus
668,26,L,18,Bagus
669,57,P,6,Bagus
670,38,P,42,Sedang
671,57,L,28,Sedang
672,60,P,24,Bagus
673,22,P,18,Bagus
674,33,L,31,Sedang
675,19,L,33,Bagus
676,60,L,1,Bagus
677,49,L,32,Bagus
678,23,L,7,Sedang
679,49,L,3,Sedang
680,25,P,13,Bagus
681,25,P,22,Sedang
682,23,P,37,Bagus
683,48,L,39,Bagus
684,22,P,12,Bagus
685,52,P,30,Buruk
686,22,L,24,Sedang
687,28,P,34,Buruk
688,46,L,2,Buruk
689,28,L,3,Sedang
690,27,P,35,Sedang
691,30,L,18,Buruk
692,20,L,17,Sedang
693,58,L,5,Sedang
694,57,L,19,Bagus
695,41,L,47,Sedang
696,49,L,46,Sedang
697,47,P,1,Sedang
698,60,L,26,Bagus
699,35,L,46,Bagus
700,26,P,28,Buruk
701,49,P,43,Buruk
702,18,P,13,Buruk
703,30,L,48,Bagus
704,25,L,43,Buruk
705,29,P,44,Buruk
706,23,L,8,Sedang
707,18,L,12,Bagus
708,49,P,38,Sedang
709,25,L,9,Bagus
710,51,P,20,Bagus
711,28,L,26,Sedang
712,22,L,16,Sedang
713,48,L,41,Buruk
714,42,P,5,Buruk
715,51,P,44,Sedang
716,22,P,16,Sedang
717,19,L,9,Sedang
718,56,P,7,Buruk
719,38,L,36,Bagus
720,21,P,26,Sedang
721,48,L,14,Buruk
722,28,L,12,Sedang
723,41,P,7,Bagus
724,29,L,19,Buruk
725,49,P,39,Sedang
726,20,P,24,Bagus
727,24,L,36,Sedang
728,31,L,27,Sedang
729,18,L,49,Sedang
730,18,P,3,Buruk
731,44,P,17,Buruk
732,20,L,38,Sedang
733,26,P,39,Bagus
734,39,L,44,Sedang
735,47,P,48,Buruk
736,31,L,36,Bagus
737,48,P,7,Buruk
738,43,L,27,Bagus
739,43,P,30,Bagus
740,46,P,10,Sedang
741,58,P,2,Sedang
742,32,L,36,Sedang
743,46,P,5,Buruk
744,19,L,30,Sedang
745,52,L,49,Buruk
746,36,L,30,Bagus
747,54,L,36,Buruk
748,47,P,8,Sedang
749,23,L,30,Sedang
750,49,P,8,Bagus
751,57,P,4,Bagus
752,49,P,42,Buruk
753,58,P,49,Bagus
754,56,L,13,Bagus
755,53,P,4,Bagus
756,39,P,46,Sedang
757,27,P,14,Buruk
758,54,P,24,Sedang
759,23,P,8,Bagus
760,17,L,22,Buruk
761,43,P,7,Bagus
762,46,L,41,Bagus
763,25,L,48,Sedang
764,26,L,48,Bagus
765,41,P,33,Bagus
766,43,L,5,Sedang
767,57,P,20,Buruk
768,39,P,31,Sedang
769,50,P,9,Sedang
770,55,L,13,Buruk
771,35,P,29,Buruk
772,29,P,9,Sedang
773,37,L,41,Bagus
774,57,L,42,Buruk
775,19,P,7,Buruk
776,34,P,32,Sedang
777,39,L,11,Bagus
778,30,P,35,Sedang
779,36,L,5,Buruk
780,53,P,48,Sedang
781,37,L,6,Sedang
782,52,L,29,Bagus
783,36,P,45,Bagus
784,35,L,47,Sedang
785,33,P,47,Buruk
786,28,L,1,Sedang
787,58,P,26,Sedang
788,48,L,34,Buruk
789,33,L,11,Sedang
790,48,L,15,Sedang
791,32,P,22,Sedang
792,50,P,26,Bagus
793,57,P,21,Buruk
794,41,P,48,Sedang
795,48,L,45,Bagus
796,55,P,37,Buruk
797,57,P,2,Bagus
798,46,L,1,Sedang
799,49,L,14,Bagus
800,55,P,24,Buruk
801,26,P,10,Sedang
802,43,P,50,Sedang
803,52,P,42,Bagus
804,23,L,15,Sedang
805,30,P,47,Sedang
806,60,L,26,Bagus
807,21,P,3,Buruk
808,45,P,10,Sedang
809,47,L,45,Sedang
810,25,L,16,Buruk
811,33,P,40,Buruk
812,32,P,46,Bagus
813,38,L,35,Buruk
814,33,L,6,Bagus
815,30,P,49,Sedang
816,24,L,4,Bagus
817,37,L,20,Sedang
818,36,L,50,Bagus
819,38,P,20,Buruk
820,51,L,26,Bagus
821,48,P,46,Sedang
822,41,L,13,Bagus
823,52,L,17,Sedang
824,50,P,39,Buruk
825,28,P,8,Buruk
826,58,L,32,Bagus
827,41,P,19,Bagus
828,19,L,26,Buruk
829,29,L,2,Bagus
830,29,P,16,Sedang
831,33,L,29,Buruk
832,40,P,18,Bagus
833,45,L,9,Buruk
834,32,P,28,Sedang
835,40,L,47,Buruk
836,41,L,10,Sedang
837,20,L,43,Buruk
838,44,L,8,Sedang
839,60,L,26,Buruk
840,17,L,23,Sedang
841,20,L,31,Sedang
842,30,L,22,Bagus
843,44,P,7,Buruk
844,34,L,37,Bagus
845,29,L,16,Bagus
846,45,L,3,Buruk
847,55,L,27,Sedang
848,48,P,34,Bagus
849,40,P,39,Sedang
850,29,P,49,Bagus
851,40,L,40,Bagus
852,46,P,45,Bagus
853,47,P,11,Buruk
854,42,L,38,Sedang
855,59,P,14,Buruk
856,29,L,8,Buruk
857,39,P,0,Bagus
858,53,P,32,Sedang
859,52,P,44,Sedang
860,19,P,27,Sedang
861,35,P,46,Sedang
862,27,L,25,Bagus
863,57,P,26,Buruk
864,30,P,0,Sedang
865,25,L,6,Bagus
866,55,P,27,Bagus
867,36,L,6,Buruk
868,25,P,8,Sedang
869,21,L,34,Buruk
870,47,P,29,Sedang
871,52,P,6,Bagus
872,23,L,50,Buruk
873,38,P,37,Bagus
874,19,L,16,Buruk
875,47,L,34,Buruk
876,53,L,50,Bagus
877,44,L,25,Bagus
878,25,L,26,Sedang
879,26,P,11,Buruk
880,50,L,34,Buruk
881,41,P,3,Sedang
882,29,P,20,Sedang
883,59,L,9,Bagus
884,32,P,46,Bagus
885,17,P,21,Bagus
886,25,P,43,Sedang
887,41,P,0,Bagus
888,22,L,36,Buruk
889,17,L,41,Bagus
890,57,P,25,Bagus
891,56,L,43,Sedang
892,52,L,6,Bagus
893,37,L,38,Bagus
894,22,L,38,Bagus
895,29,L,37,Sedang
896,44,L,30,Buruk
897,57,P,43,Buruk
898,40,L,29,Buruk
899,32,P,29,Buruk
900,43,P,37,Sedang
901,48,L,44,Bagus
902,19,P,15,Sedang
903,48,P,17,Bagus
904,40,P,0,Bagus
905,49,L,8,Sedang
906,44,P,38,Buruk
907,40,L,37,Bagus
908,52,P,16,Bagus
909,55,P,4,Bagus
910,55,P,43,Buruk
911,35,P,5,Buruk
912,31,L,5,Buruk
913,22,P,40,Bagus
914,60,L,21,Sedang
915,22,L,8,Buruk
916,47,P,26,Sedang
917,30,P,37,Bagus
918,48,L,32,Sedang
919,28,L,35,Buruk
920,35,L,13,Bagus
921,39,L,38,Sedang
922,50,P,1,Buruk
923,34,P,47,Bagus
924,48,L,13,Sedang
925,39,P,17,Bagus
926,30,L,11,Buruk
927,37,P,43,Bagus
928,33,L,32,Buruk
929,55,P,14,Sedang
930,24,L,26,Sedang
931,38,P,13,Bagus
932,18,L,46,Sedang
933,55,P,42,Sedang
934,42,L,36,Buruk
935,18,L,14,Sedang
936,33,L,18,Sedang
937,59,L,31,Sedang
938,27,L,40,Buruk
939,29,P,29,Buruk
940,39,L,0,Bagus
941,34,P,25,Sedang
942,35,P,20,Bagus
943,33,P,3,Bagus
944,41,L,7,Sedang
945,46,P,7,Bagus
946,24,L,41,Sedang
947,44,L,18,Buruk
948,55,P,19,Sedang
949,47,L,23,Bagus
950,58,P,43,Buruk
951,26,P,31,Bagus
952,27,P,46,Bagus
953,55,L,25,Bagus
954,40,L,17,Sedang
955,42,L,18,Bagus
956,49,P,30,Bagus
957,22,P,34,Bagus
958,60,L,0,Buruk
959,33,P,12,Bagus
960,27,P,27,Sedang
961,52,L,13,Sedang
962,17,L,31,Bagus
963,21,P,10,Bagus
964,31,L,32,Buruk
965,37,L,34,Bagus
966,32,P,38,Bagus
967,19,P,27,Buruk
968,20,L,14,Buruk
969,34,P,9,Sedang
970,54,L,2,Sedang
971,44,P,22,Buruk
972,29,L,42,Buruk
973,32,L,42,Bagus
974,18,P,34,Bagus
975,57,P,26,Bagus
976,44,L,37,Sedang
977,38,L,24,Sedang
978,39,L,6,Bagus
979,53,P,0,Bagus
980,53,P,28,Buruk
981,45,P,9,Bagus
982,37,P,9,Bagus
983,48,P,16,Buruk
984,35,L,8,Bagus
985,32,P,46,Buruk
986,36,L,16,Sedang
987,18,P,42,Sedang
988,29,P,33,Sedang
989,49,P,12,Buruk
990,22,P,48,Buruk
991,51,P,16,Sedang
992,37,P,2,Buruk
993,34,L,34,Buruk
994,18,L,6,Sedang
995,54,P,46,Buruk
996,42,L,38,Buruk
997,26,P,26,Bagus
998,18,L,20,Buruk
999,32,P,29,Sedang
